"District","Income Streams","Cohort","Year","RTV","Control","Status","Values"
"Kanungu","Salaried Employment","2018","Base",9.66,11.2072072072072,"RTV",9.66
"Kanungu","Salaried Employment","2018","Base",9.66,11.2072072072072,"Control",11.2072072072072
"Kanungu","Self-Income / Business","2018","Base",155.18,32.5693693693694,"RTV",155.18
"Kanungu","Self-Income / Business","2018","Base",155.18,32.5693693693694,"Control",32.5693693693694
"Kanungu","Casual Labour Income","2018","Base",0,97.6374774774775,"RTV",0
"Kanungu","Casual Labour Income","2018","Base",0,97.6374774774775,"Control",97.6374774774775
"Kanungu","Remit and Gifts Income","2018","Base",0,5.06666666666667,"RTV",0
"Kanungu","Remit and Gifts Income","2018","Base",0,5.06666666666667,"Control",5.06666666666667
"Kanungu","Rent Income","2018","Base",1.15,1.44144144144144,"RTV",1.15
"Kanungu","Rent Income","2018","Base",1.15,1.44144144144144,"Control",1.44144144144144
"Kanungu","Perennial Crop Income","2018","Base",0,0,"RTV",0
"Kanungu","Perennial Crop Income","2018","Base",0,0,"Control",0
"Kanungu","Seasonal Crop Income","2018","Base",88.33,108.204408072072,"RTV",88.33
"Kanungu","Seasonal Crop Income","2018","Base",88.33,108.204408072072,"Control",108.204408072072
"Kanungu","Season1 Value","2018","Base",85.6,71.4825866666667,"RTV",85.6
"Kanungu","Season1 Value","2018","Base",85.6,71.4825866666667,"Control",71.4825866666667
"Kanungu","Season2 Value","2018","Base",86.55,58.2983063063063,"RTV",86.55
"Kanungu","Season2 Value","2018","Base",86.55,58.2983063063063,"Control",58.2983063063063
"Kanungu","Perennial Value","2018","Base",55.78,117.36400836036,"RTV",55.78
"Kanungu","Perennial Value","2018","Base",55.78,117.36400836036,"Control",117.36400836036
"Kanungu","Annual Agric Value","2018","Base",227.93,247.144901333333,"RTV",227.93
"Kanungu","Annual Agric Value","2018","Base",227.93,247.144901333333,"Control",247.144901333333
"Kanungu","Livestock Income","2018","Base",31.17,20.3661261261261,"RTV",31.17
"Kanungu","Livestock Income","2018","Base",31.17,20.3661261261261,"Control",20.3661261261261
"Kanungu","Livestock Income/ Production","2018","Base",36.8,23.5517117117117,"RTV",36.8
"Kanungu","Livestock Income/ Production","2018","Base",36.8,23.5517117117117,"Control",23.5517117117117
"Kanungu","Livestock Value","2018","Base",88.61,99.5113513513514,"RTV",88.61
"Kanungu","Livestock Value","2018","Base",88.61,99.5113513513514,"Control",99.5113513513514
"Kanungu","PPI","2018","Base",27.31,30.02,"RTV",27.31
"Kanungu","PPI","2018","Base",27.31,30.02,"Control",30.02
"Kanungu","Salaried Employment","2019","Base",18.53,10.2043872126975,"RTV",18.53
"Kanungu","Salaried Employment","2019","Base",18.53,10.2043872126975,"Control",10.2043872126975
"Kanungu","Self-Income / Business","2019","Base",36.32,41.4647001572209,"RTV",36.32
"Kanungu","Self-Income / Business","2019","Base",36.32,41.4647001572209,"Control",41.4647001572209
"Kanungu","Casual Labour Income","2019","Base",60.72,130.451448678595,"RTV",60.72
"Kanungu","Casual Labour Income","2019","Base",60.72,130.451448678595,"Control",130.451448678595
"Kanungu","Remit and Gifts Income","2019","Base",6.14,4.97566818896459,"RTV",6.14
"Kanungu","Remit and Gifts Income","2019","Base",6.14,4.97566818896459,"Control",4.97566818896459
"Kanungu","Rent Income","2019","Base",1.81,1.50108557310773,"RTV",1.81
"Kanungu","Rent Income","2019","Base",1.81,1.50108557310773,"Control",1.50108557310773
"Kanungu","Perennial Crop Income","2019","Base",80.17,44.7405405405405,"RTV",80.17
"Kanungu","Perennial Crop Income","2019","Base",80.17,44.7405405405405,"Control",44.7405405405405
"Kanungu","Seasonal Crop Income","2019","Base",52.16,94.3118589503631,"RTV",52.16
"Kanungu","Seasonal Crop Income","2019","Base",52.16,94.3118589503631,"Control",94.3118589503631
"Kanungu","Season1 Value","2019","Base",77.38,82.8000524069776,"RTV",77.38
"Kanungu","Season1 Value","2019","Base",77.38,82.8000524069776,"Control",82.8000524069776
"Kanungu","Season2 Value","2019","Base",71.96,78.2335479523845,"RTV",71.96
"Kanungu","Season2 Value","2019","Base",71.96,78.2335479523845,"Control",78.2335479523845
"Kanungu","Perennial Value","2019","Base",95.46,162.786883282174,"RTV",95.46
